Year,LE - Data,le-cons-abs,kurz-le-abs,inc-py-cons,inc-py-kurz
1960,71.04,70.96196,71,0.14196,0.22484
1961,70.79,71.10590744,71.22484,0.14394744,0.22978648
1962,70.85,71.25187014,71.45462648,0.1459627042,0.2348417826
1963,70.76,71.39987633,71.68946826,0.148006182,0.2400083018
1964,71.55,71.54995459,71.92947656,0.1500782686,0.2452884844
1965,71.52,71.70213396,72.17476505,0.1521793643,0.2506848311
1966,71.44,71.85644383,72.42544988,0.1543098754,0.2561998974
1967,72.07,72.01291405,72.68164978,0.1564702137,0.2618362951
1968,71.69,72.17157484,72.94348607,0.1586607967,0.2675966936
1969,71.66,72.33245689,73.21108277,0.1608820478,0.2734838208
1970,71.9,72.49559129,73.48456659,0.1631343965,0.2795004649
1971,72.23,72.66100957,73.76406705,0.165418278,0.2856494751
1972,72,72.8287437,74.04971653,0.1677341339,0.2919337636
1973,72.19,72.99882611,74.34165029,0.1700824118,0.2983563064
1974,72.38,73.17128968,74.6400066,0.1724635656,0.3049201451
1975,72.65,73.34616773,74.94492674,0.1748780555,0.3116283883
1976,72.64,73.52349408,75.25655513,0.1773263483,0.3184842129
1977,73.12,73.703303,75.57503934,0.1798089172,0.3254908655
1978,73.06,73.88562924,75.90053021,0.182326242,0.3326516646
1979,73.16,74.07050805,76.23318187,0.1848788094,0.3399700012
1980,73.59,74.25797516,76.57315187,0.1874671127,0.3474493412
1981,73.92,74.44806682,76.92060122,0.1900916523,0.3550932267
1982,74.04,74.64081975,77.27569444,0.1927529354,0.3629052777
1983,74.29,74.83627123,77.63859972,0.1954514765,0.3708891938
1984,74.68,75.03445903,78.00948891,0.1981877972,0.3790487561
1985,74.53,75.23542145,78.38853767,0.2009624264,0.3873878287
1986,74.8,75.43919735,78.7759255,0.2037759003,0.395910361
1987,75.15,75.64582611,79.17183586,0.2066287629,0.4046203889
1988,75.26,75.85534768,79.57645625,0.2095215656,0.4135220375
1989,75.4,76.06780255,79.98997829,0.2124548675,0.4226195223
1990,75.74,76.28323178,80.41259781,0.2154292357,0.4319171518
1991,75.91,76.50167703,80.84451496,0.218445245,0.4414193291
1992,76.3,76.72318051,81.28593429,0.2215034784,0.4511305544
1993,76.17,76.94778503,81.73706484,0.2246045271,0.4610554266
1994,76.72,77.17553402,82.19812027,0.2277489905,0.4711986459
1995,76.62,77.4064715,82.66931892,0.2309374763,0.4815650162
1996,76.88,77.6406421,83.15088393,0.234170601,0.4921594465
1997,77.14,77.87809109,83.64304338,0.2374489894,0.5029869543
1998,77.28,78.11886437,84.14603033,0.2407732753,0.5140526673
1999,77.38,78.36300847,84.660083,0.2441441011,0.525361826
2000,77.86,78.61057059,85.18544483,0.2475621185,0.5369197862
2001,78.14,78.86159857,85.72236461,0.2510279882,0.5487320215
2002,78.26,79.11614095,86.27109663,0.25454238,0.560804126
2003,78.35,79.37424693,86.83190076,0.2581059734,0.5731418167
2004,78.93,79.63596638,87.40504258,0.261719457,0.5857509367
2005,79.13,79.90134991,87.99079351,0.2653835294,0.5986374573
2006,79.37,80.17044881,88.58943097,0.2690988988,0.6118074814
2007,79.56,80.4433151,89.20123845,0.2728662834,0.625267246
2008,79.68,80.72000151,89.8265057,0.2766864113,0.6390231254
2009,80.18,81.00056153,90.46552882,0.2805600211,0.6530816341
2010,80.41,81.28504939,91.11861046,0.2844878614,0.6674494301
2011,80.8,81.57352008,91.78605989,0.2884706915,0.6821333175
2012,,81.86602936,92.46819321,0.2925092811,0.6971402505
2013,,82.16263377,93.16533346,0.2966044111,0.712477336
2014,,82.46339065,93.87781079,0.3007568728,0.7281518374
2015,,82.76835812,94.60596263,0.3049674691,0.7441711778
2016,,83.07759513,95.35013381,0.3092370136,0.7605429438
2017,,83.39116146,96.11067675,0.3135663318,0.7772748885
2018,,83.70911772,96.88795164,0.3179562605,0.7943749361
2019,,84.03152537,97.68232658,0.3224076481,0.8118511847
2020,,84.35844672,98.49417776,0.3269213552,0.8297119107
2021,,84.68994498,99.32388967,0.3314982541,0.8479655728
2022,,85.02608421,100.1718552,0.3361392297,0.8666208154
2023,,85.36692939,101.0384761,0.3408451789,0.8856864733
2024,,85.7125464,101.9241625,0.3456170114,0.9051715757
2025,,86.06300205,102.8293341,0.3504556496,0.9250853504
2026,,86.41836408,103.7544195,0.3553620287,0.9454372281
2027,,86.77870117,104.6998567,0.3603370971,0.9662368471
2028,,87.14408299,105.6660935,0.3653818164,0.9874940577
2029,,87.51458015,106.6535876,0.3704971619,1.009218927
2030,,87.89026427,107.6628065,0.3756841221,1.031421743
2031,,88.27120797,108.6942283,0.3809436998,1.054113022
2032,,88.65748489,109.7483413,0.3862769116,1.077303508
2033,,89.04916967,110.8256448,0.3916847884,1.101004185
2034,,89.44633805,111.926649,0.3971683754,1.125226277
2035,,89.84906678,113.0518753,0.4027287327,1.149981256